Age,Gender,Location_Geotag (city/town/pincode),Type_of_Institution,Course_Completion_Rate (%),Attendance_Rate (%),Scholarships_Awards (Yes/No),Current_Academic_Standing (GPA),Stipend_Allowance_Amount (₹/month),Allowance_Management_Pattern (₹),Internship_PartTime_Job_Income (₹/month),Education_Loan_History,Mobile_Recharge_Frequency (per month),Network_Diversity (no. of links),Language_Sentiment_Score,Daily_Mobile_Usage (hours/day),Ongoing_Certification_Courses,Achievement_Level,Student_Highlight,College_name,Median_Packages (LPA)
24,Male,Chengalpattu,Online Platform,63,91,No,9.47,12500,7000,2586,1x late,1,4,0.85,9.29,2,2,None,Distance Degree,0
23,Female,Chennai,Private,83,69,Yes,8.63,15000,6000,758,2x late,1,5,-0.85,3.73,3,2,Innovator,Savitha,6.15
23,Male,Pattukkottai,Online Platform,77,85,No,8.6,14500,6500,3089,1x late,4,9,0.11,6.68,2,4,Award Winner,Coursera,0
23,Male,Tiruvallur,Private,65,94,No,5.95,9000,5000,1021,None,1,10,-0.4,5.1,1,3,Award Winner,Savitha,6.15
21,Male,Tiruvallur,Online Platform,82,63,No,8.55,7500,5000,1013,1x late,3,9,0.29,3.91,1,2,Social Impact Leader,Distance Degree,0
21,Male,Karaikal,Govt,66,76,Yes,8.49,13500,5000,936,None,2,7,-0.07,5.38,3,0,Social Impact Leader,IIT M,12
20,Male,Vallam,Online Platform,96,97,Yes,8.15,12000,6000,2094,2x late,4,9,0.9,4.56,3,2,Startup Founder,Distance Degree,0
24,Female,Madurai,Private,77,69,Yes,9.46,11000,6500,9,None,3,5,0.93,3.78,3,0,Patent Holder,Sathyabama,5.2
20,Male,Pattukkottai,Private,91,62,Yes,8.52,10000,6000,3408,None,5,9,-0.43,7.21,1,1,Patent Holder,Sastra,7.6
18,Female,Chengalpattu,Online Platform,87,92,No,8.66,14000,7000,494,2x late,5,7,-0.46,8.99,3,0,Research Publication,Udemy,0
25,Male,Tambaram,Govt,92,62,Yes,8.8,14500,6000,4310,1x late,3,2,-0.88,8.88,1,2,Social Impact Leader,IIT M,12
21,Male,Thiruporur,Private,98,67,Yes,7.61,8500,6000,854,1x late,1,4,-0.22,5.81,2,2,Social Impact Leader,VIT Vellore,10
22,Male,Chengalpattu,Online Platform,67,68,No,5.74,15000,7000,3911,1x late,2,7,-0.81,5.15,2,1,Patent Holder,Distance Degree,0
23,Female,Padappai,Govt,80,71,Yes,9.93,5000,7000,4998,1x late,3,10,0.9,3.58,3,4,Research Publication,IIIT Kanchipuram,8.6
20,Female,Siruseri,Private,81,75,No,8.11,11500,6500,2904,None,2,4,-0.3,4.19,1,1,Social Impact Leader,SNU Chennai,8.26
21,Female,Kanchipuram,Private,64,80,No,8.22,15000,6500,3495,2x late,3,7,0.31,6.14,1,1,Competition Winner,SNU Chennai,8.26
22,Female,Avadi,Online Platform,79,96,Yes,9.41,5500,5000,3470,None,2,10,-0.96,4.41,2,2,Innovator,Coursera,0
24,Male,Chennai,Govt,75,67,Yes,8.07,9000,6000,143,None,2,9,0.52,9.65,1,3,Innovator,IIIT Kanchipuram,8.6
24,Female,Dindigul,Govt,77,68,No,8.17,10000,7000,8,1x late,4,3,0.85,9.67,1,0,None,NIT Trichy,9.2
23,Male,Lalgudi,Private,73,89,No,6.3,11500,6500,4722,2x late,3,10,0.35,3.94,1,0,Competition Winner,Savitha,6.15
23,Male,Tiruvallur,Govt,79,86,No,8.96,10500,6500,515,None,5,4,0.47,9.56,1,1,Award Winner,NIT Trichy,9.2
21,Male,Tiruchirapalli,Online Platform,79,85,Yes,6.01,5500,6000,644,2x late,3,8,-0.61,7.98,1,3,Competition Winner,Distance Degree,0
22,Male,Karur,Private,80,73,No,9.6,5000,6000,2794,2x late,3,6,-0.48,5.98,1,0,Research Publication,Sathyabama,5.2
23,Male,Tiruchirapalli,Govt,75,78,Yes,6.38,14500,5000,1973,1x late,4,6,-0.26,6.63,2,0,Competition Winner,IIIT Kanchipuram,8.6
22,Male,Pattukkottai,Private,58,72,Yes,7.13,12500,5000,1522,2x late,1,2,0.61,7.6,3,3,Research Publication,Sathyabama,5.2
25,Female,Madurai,Private,51,94,Yes,7.28,9000,6500,3510,None,2,1,-0.09,4.26,3,1,Patent Holder,Savitha,6.15
19,Male,Padappai,Private,57,100,No,9.82,11500,5500,3832,1x late,2,2,-0.81,6.62,2,0,Social Impact Leader,Sathyabama,5.2
21,Female,Karaikal,Private,78,82,No,7.78,10500,5500,1031,2x late,1,8,0.08,6.86,2,4,None,Sathyabama,5.2
25,Female,Tiruvallur,Govt,93,63,No,6.86,8000,6000,4999,None,2,6,0.55,5.2,1,3,Innovator,IIT M,12
22,Female,Karaikal,Online Platform,91,75,No,5.54,13000,5500,4238,1x late,1,3,-0.26,2.57,2,2,Startup Founder,Distance Degree,0
22,Male,Velachery,Online Platform,97,88,Yes,6.35,8000,5500,1815,2x late,4,9,0.09,7.75,3,2,Award Winner,Distance Degree,0
19,Female,Tiruchirapalli,Online Platform,88,86,Yes,9.36,9500,7000,4918,2x late,4,4,-0.27,3.95,3,3,Research Publication,Distance Degree,0
18,Female,Dindigul,Private,59,63,No,8.38,6500,6500,2515,2x late,1,7,0.81,6.7,2,2,None,SNU Chennai,8.26
19,Male,Sriperumbudur,Online Platform,68,96,Yes,6.38,15000,5000,4270,1x late,3,5,0.52,6.49,1,0,Patent Holder,Udemy,0
22,Male,Chengalpattu,Govt,57,61,Yes,6.65,9000,7000,4475,1x late,3,4,-0.71,2.33,2,0,Innovator,NIT Trichy,9.2
21,Female,Dindigul,Govt,59,84,Yes,6.17,15000,6000,2570,1x late,5,8,0.71,8.79,2,1,None,IIT M,12
21,Male,Tiruvallur,Private,61,60,No,6.78,12500,6000,933,1x late,2,3,0.48,4.7,1,4,Startup Founder,Savitha,6.15
21,Male,Madurai,Online Platform,81,91,No,8.67,12500,5000,3121,1x late,4,10,-0.53,4.25,2,3,Research Publication,Udemy,0
25,Male,Sriperumbudur,Online Platform,93,97,Yes,6.94,14000,5000,2847,1x late,2,5,-0.55,7.49,1,4,Competition Winner,Distance Degree,0
24,Male,Padappai,Govt,92,79,No,5.68,7000,6500,1722,1x late,3,9,-0.12,4.23,1,0,Patent Holder,IIT M,12
21,Male,Padappai,Govt,87,68,No,5.58,12000,5500,3505,None,3,4,0.24,3.32,1,1,Competition Winner,IIIT Kanchipuram,8.6
23,Male,Siruseri,Private,77,63,Yes,7.86,7000,7000,1777,None,5,8,0.13,4.22,2,1,Competition Winner,Sastra,7.6
25,Male,Sholinganallur,Private,72,100,Yes,8.94,6500,5000,3834,None,2,4,-0.86,3.12,1,0,Social Impact Leader,Sastra,7.6
21,Male,Sholinganallur,Private,87,75,Yes,7.72,6000,7000,2055,1x late,3,6,-0.13,5.59,3,4,Patent Holder,Sathyabama,5.2
23,Female,Vallam,Private,80,87,No,9.94,11500,5500,2791,2x late,4,5,0.84,2.79,1,0,Research Publication,VIT Vellore,10
21,Male,Pattukkottai,Online Platform,84,94,No,9.61,7500,5000,2618,2x late,1,3,-0.54,6.42,1,2,Patent Holder,Distance Degree,0
21,Male,Thiruporur,Private,88,85,Yes,6.21,12500,6500,2646,2x late,5,7,-0.74,6.04,2,0,Innovator,Sastra,7.6
23,Male,Pattukkottai,Govt,74,67,Yes,5.9,6000,6000,2454,1x late,4,1,0,7.74,2,4,Competition Winner,NIT Trichy,9.2
25,Male,Pattukkottai,Govt,53,91,Yes,9.51,11000,7000,4300,2x late,4,6,0.1,7.05,3,3,None,IIIT Kanchipuram,8.6
19,Female,Karur,Online Platform,71,98,Yes,9.03,11500,6500,2599,None,4,2,0.16,8.02,2,3,Competition Winner,Udemy,0
21,Male,Vallam,Online Platform,65,74,No,8.73,11500,5500,545,1x late,5,9,-0.28,4.6,3,1,Competition Winner,Udemy,0
22,Male,Thiruporur,Private,96,83,No,6.05,12500,7000,149,None,3,9,0.2,8.74,3,3,Research Publication,SNU Chennai,8.26
24,Female,Karur,Online Platform,73,78,Yes,8.69,10500,5500,4247,1x late,4,6,-0.65,8.47,1,4,Competition Winner,Coursera,0
24,Male,Karur,Private,59,61,Yes,8.78,14500,5000,4176,2x late,1,5,0.98,2.15,1,1,Award Winner,Sastra,7.6
20,Male,Siruseri,Online Platform,91,77,Yes,8.64,13500,6500,2330,2x late,5,9,0.63,4.48,3,4,Patent Holder,Udemy,0
22,Female,Tiruchirapalli,Private,52,74,No,9.17,9000,7000,2069,1x late,1,8,0.6,8.53,1,1,Award Winner,VIT Vellore,10
22,Female,Urapakkam,Online Platform,53,76,Yes,6.46,12500,6500,4340,1x late,3,5,0.95,6.18,2,2,Social Impact Leader,Coursera,0
19,Male,Sholinganallur,Private,99,83,No,5.73,15000,6500,1188,2x late,4,5,0.36,2.43,2,3,Startup Founder,SNU Chennai,8.26
23,Male,Oragadam,Private,72,65,No,7.6,9000,6500,4270,2x late,4,4,0.87,4.42,2,2,Award Winner,SNU Chennai,8.26
22,Female,Tiruvallur,Online Platform,82,79,No,5.95,14500,6000,1174,2x late,1,2,-0.78,4.42,3,4,Social Impact Leader,Coursera,0
23,Male,Karur,Online Platform,85,77,No,9.2,6000,6000,1562,1x late,2,10,0.82,9.12,3,4,Competition Winner,Udemy,0
25,Female,Karaikal,Online Platform,84,79,Yes,7.01,5000,6000,2824,2x late,3,10,-0.86,7.81,1,0,None,Distance Degree,0
18,Female,Siruseri,Govt,94,86,No,8.82,14000,6000,1011,2x late,4,3,-0.27,5.92,2,4,Award Winner,IIIT Kanchipuram,8.6
22,Male,Urapakkam,Govt,75,72,No,6.81,14500,5000,710,2x late,2,8,-0.41,4.66,3,3,Patent Holder,NIT Trichy,9.2
19,Female,Karaikal,Govt,68,61,Yes,6.11,10000,7000,848,1x late,5,5,0.72,8.07,1,1,Patent Holder,IIIT Kanchipuram,8.6
21,Male,Lalgudi,Private,83,97,No,6.76,11500,6000,3501,1x late,5,5,-0.64,3.83,2,2,None,Sastra,7.6
25,Male,Papanasam,Online Platform,95,72,No,8.97,5500,5500,3691,2x late,3,8,0.49,8.19,2,0,Award Winner,Udemy,0
24,Female,Dindigul,Private,62,63,No,6.64,9500,7000,2667,2x late,1,8,-0.17,8.49,3,3,Research Publication,Sathyabama,5.2
19,Male,Chengalpattu,Govt,79,68,Yes,5.99,6000,5000,1395,1x late,4,6,0.27,6.72,1,4,Social Impact Leader,IIT M,12
25,Male,Kumbakonam,Govt,64,82,No,7.3,9500,5500,912,1x late,5,3,-0.86,5.66,1,2,Research Publication,NIT Trichy,9.2
25,Female,Sholinganallur,Private,77,81,No,6.98,12500,6000,3271,None,5,8,-0.87,3.3,3,1,Innovator,Sastra,7.6
20,Male,Oragadam,Private,65,92,Yes,7.74,11000,7000,4423,None,5,4,-0.02,7.26,2,4,Patent Holder,SNU Chennai,8.26
20,Female,Madurai,Govt,94,71,Yes,6.81,5000,6000,416,2x late,3,9,0.61,8.56,2,0,Startup Founder,NIT Trichy,9.2
22,Male,Papanasam,Govt,63,83,Yes,7.01,9500,5000,2117,2x late,3,5,-0.27,6.4,1,4,Innovator,IIIT Kanchipuram,8.6
21,Male,Madurai,Private,50,79,Yes,9.55,11500,5000,2124,1x late,5,8,0.48,2.01,3,3,Startup Founder,SNU Chennai,8.26
22,Male,Tiruvallur,Govt,94,70,No,7.54,13000,5500,1087,None,3,2,-0.43,2.89,3,2,Innovator,IIIT Kanchipuram,8.6
19,Female,Pattukkottai,Govt,68,92,Yes,9.51,13500,6500,1125,None,3,3,0.38,3.77,1,0,Innovator,NIT Trichy,9.2
18,Male,Karur,Online Platform,67,67,Yes,9.89,14500,5000,4557,1x late,1,5,-0.48,8.51,1,4,Social Impact Leader,Distance Degree,0
19,Male,Vellore,Private,85,76,No,7.03,5000,7000,3654,2x late,2,8,0.93,4.77,3,3,None,Sastra,7.6
18,Male,Oragadam,Private,60,74,No,7.89,15000,5500,317,None,3,8,-0.34,2.58,2,4,Startup Founder,VIT Vellore,10
23,Male,Karur,Private,66,67,No,6.48,13500,7000,3007,1x late,3,1,-0.35,4.04,1,3,Research Publication,Savitha,6.15
21,Female,Karur,Govt,83,100,No,8.4,6500,6000,3072,2x late,5,5,-0.42,4.85,3,3,Research Publication,IIIT Kanchipuram,8.6
20,Female,Chengalpattu,Private,92,77,No,7.87,14500,7000,1011,2x late,3,8,0.82,3.92,2,1,Innovator,Sathyabama,5.2
23,Female,Dindigul,Online Platform,95,74,No,6.83,10000,6500,858,None,1,10,-1,6.24,3,0,Research Publication,Udemy,0
25,Female,Tiruvallur,Govt,55,87,No,6.57,9000,7000,1576,2x late,4,2,0.9,7.84,1,2,None,IIIT Kanchipuram,8.6
22,Female,Papanasam,Govt,68,69,No,7.3,11000,5000,99,None,4,10,0.73,4.05,1,1,None,NIT Trichy,9.2
25,Male,Chengalpattu,Online Platform,59,70,No,7.47,6000,6000,1139,2x late,4,4,0.08,5.25,2,4,Competition Winner,Coursera,0
22,Male,Vallam,Govt,50,86,Yes,8.76,10000,6000,3562,None,4,10,0.99,4.73,1,4,Innovator,NIT Trichy,9.2
25,Male,Thiruporur,Online Platform,52,72,No,9.34,11000,7000,4631,None,3,7,-0.73,9.2,1,0,Patent Holder,Coursera,0
18,Male,Urapakkam,Govt,71,95,Yes,8.68,5500,6000,4148,2x late,5,2,0.93,4.13,3,1,Patent Holder,IIT M,12
19,Female,Siruseri,Private,58,84,No,5.57,5500,6000,4571,1x late,5,7,0.13,5.26,1,4,None,SNU Chennai,8.26
19,Male,Vellore,Online Platform,53,88,Yes,7.32,9500,5500,3107,2x late,5,1,-0.76,5.46,2,3,Competition Winner,Coursera,0
18,Male,Thanjavur,Private,98,83,No,6.72,10500,5500,2505,1x late,3,8,0.57,8.92,2,2,Award Winner,Sastra,7.6
18,Male,Oragadam,Govt,62,78,No,9.51,15000,5500,1653,2x late,5,9,-0.03,5.19,2,3,Innovator,IIT M,12
21,Male,Karur,Online Platform,71,80,No,7.69,11500,5500,3247,1x late,1,7,0.76,6.17,2,2,Innovator,Udemy,0
19,Male,Kanchipuram,Online Platform,87,75,Yes,7.67,7500,6500,2838,1x late,2,8,0.49,2.14,1,0,Patent Holder,Coursera,0
22,Male,Karaikal,Online Platform,87,60,Yes,7.31,6500,6000,3935,None,1,8,0.96,9.72,1,2,None,Udemy,0
25,Male,Kumbakonam,Govt,78,81,Yes,7,14000,6000,4724,1x late,3,6,0.08,8.26,1,3,None,IIIT Kanchipuram,8.6
20,Male,Dindigul,Online Platform,79,98,Yes,8.87,6500,6500,1041,None,4,1,-0.87,9.75,1,1,Patent Holder,Coursera,0
23,Female,Avadi,Online Platform,89,71,Yes,9.79,5000,5000,2988,1x late,5,1,0.2,9.55,1,0,None,Udemy,0
19,Female,Vellore,Online Platform,98,64,No,8.36,12000,5500,1536,None,1,4,-0.15,9.12,3,4,Patent Holder,Distance Degree,0
25,Male,Chennai,Govt,69,66,No,5.53,7500,5000,3732,None,1,8,-0.61,3.71,1,0,Competition Winner,IIT M,12
23,Female,Urapakkam,Private,80,62,No,7.23,14500,6000,3350,2x late,3,2,0.63,3.59,2,0,Social Impact Leader,Sastra,7.6
20,Male,Vallam,Private,67,94,No,9.1,7000,7000,4265,None,5,2,0.2,9.89,3,4,Competition Winner,Sastra,7.6
23,Female,Padappai,Govt,51,87,No,6.09,10500,5000,91,None,4,7,0.37,2.54,1,2,Innovator,IIT M,12
18,Female,Urapakkam,Private,82,78,Yes,8.54,12000,6500,3736,None,4,4,-0.42,3.04,2,2,Patent Holder,Sathyabama,5.2
22,Female,Tambaram,Private,83,76,Yes,7.64,7000,7000,1383,1x late,4,8,-0.28,4.66,2,4,Research Publication,SNU Chennai,8.26
18,Female,Papanasam,Online Platform,63,63,No,6.08,11000,5500,3103,2x late,1,4,0.7,6.21,1,2,Startup Founder,Coursera,0
22,Female,Lalgudi,Govt,55,77,No,9.44,7000,6500,607,None,2,8,-0.52,4.13,3,0,Innovator,IIT M,12
20,Female,Sriperumbudur,Govt,83,98,No,8.02,6500,6500,4451,1x late,1,4,-0.59,2.4,1,1,Research Publication,NIT Trichy,9.2
23,Male,Padappai,Private,91,86,No,7.92,13500,5500,4736,1x late,5,1,0.79,6.8,2,4,Competition Winner,Sathyabama,5.2
19,Male,Thanjavur,Private,76,96,Yes,8.55,9500,5000,3492,1x late,5,1,-0.39,5.63,1,4,Social Impact Leader,Sastra,7.6
19,Female,Oragadam,Govt,56,62,No,7.01,7000,6000,1619,2x late,2,3,-0.17,9.49,2,2,Patent Holder,IIIT Kanchipuram,8.6
18,Female,Chengalpattu,Govt,69,92,Yes,8.52,13500,6500,4059,1x late,5,4,0.21,9.89,2,0,Patent Holder,NIT Trichy,9.2
20,Female,Vallam,Govt,92,100,Yes,6.51,15000,7000,1634,None,2,8,0.73,5.29,1,1,None,IIT M,12
24,Female,Tambaram,Govt,58,67,Yes,7.85,6000,6000,3483,None,2,9,0.73,3.52,2,0,Innovator,NIT Trichy,9.2
24,Female,Oragadam,Private,72,85,Yes,7.77,8500,5500,1822,2x late,4,4,0.25,2.15,3,1,None,Sastra,7.6
22,Male,Kumbakonam,Govt,61,68,No,9.91,9000,6000,2932,1x late,5,3,0.78,2.5,2,4,Patent Holder,IIT M,12
20,Male,Siruseri,Private,99,66,No,6.06,10000,6500,4414,None,3,9,0.3,2.13,2,2,Startup Founder,Sathyabama,5.2
